=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 8 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 9 | </cst/Boundaries/> Low^Y_Sym | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 10 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 11 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 12 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 6 | </cst/Ports/> 1^t0 | PEC | n/a | no | pec. | edge-element.wire. | n/a | FIT_TD
2 | 7 | </cst/Ports/> 1^t1 | PEC | n/a | no | pec. | edge-element.wire. | n/a | FIT_TD
2 | 1 | </cst/Wires/> Driven_element | PEC | n/a | no | pec. | wire. | n/a | FIT_TD
2 | 2 | </cst/Wires/> Radial | PEC | n/a | no | pec. | wire. | n/a | FIT_TD
2 | 3 | </cst/Wires/> Radial_1 | PEC | n/a | no | pec. | wire. | n/a | FIT_TD
2 | 4 | </cst/Wires/> Radial_2 | PEC | n/a | no | pec. | wire. | n/a | FIT_TD
2 | 5 | </cst/Wires/> Radial_3 | PEC | n/a | no | pec. | wire. | n/a | FIT_TD
=========================================
